imageId,articleTypeName,categoryName,articleTypeId,categoryId
56509,Lipstick,Lips,29,15
7865,Tshirts,Topwear,0,0
6891,Jackets,Topwear,35,0
7811,Tshirts,Topwear,0,0
22559,Deodorant,Fragrance,27,8
15399,Casual Shoes,Shoes,2,1
25920,Tshirts,Topwear,0,0
28092,Innerwear Vests,Innerwear,37,5
16762,Handbags,Bags,7,2
22490,Flip Flops,Flip Flops,11,11
13202,Sports Shoes,Shoes,4,1
38671,Sports Shoes,Shoes,4,1
33215,Tops,Topwear,6,0
46720,Perfume and Body Mist,Fragrance,18,8
22578,Shirts,Topwear,1,0
14627,Tops,Topwear,6,0
18383,Innerwear Vests,Innerwear,37,5
20011,Tops,Topwear,6,0
19860,Jackets,Topwear,35,0
54119,Heels,Shoes,8,1
57508,Sandals,Sandal,12,9
47596,Heels,Shoes,8,1
18355,Socks,Socks,16,13
57562,Lipstick,Lips,29,15
10429,Tops,Topwear,6,0
9047,Sports Shoes,Shoes,4,1
9002,Casual Shoes,Shoes,2,1
3454,Sports Shoes,Shoes,4,1
26376,Shirts,Topwear,1,0
25290,Handbags,Bags,7,2
17937,Tshirts,Topwear,0,0
23690,Wallets,Wallets,10,10
3685,Tshirts,Topwear,0,0
54305,Bra,Innerwear,23,5
30611,Jackets,Topwear,35,0
24189,Casual Shoes,Shoes,2,1
44726,Flip Flops,Flip Flops,11,11
39805,Trousers,Bottomwear,21,4
22813,Tshirts,Topwear,0,0
46824,Heels,Shoes,8,1
50211,Sunglasses,Eyewear,9,7
1798,Tshirts,Topwear,0,0
38316,Handbags,Bags,7,2
22400,Shirts,Topwear,1,0
19084,Kurtas,Topwear,5,0
11529,Sweaters,Topwear,34,0
15850,Sandals,Sandal,12,9
3198,Tshirts,Topwear,0,0
39801,Shirts,Topwear,1,0
17026,Flip Flops,Flip Flops,11,11
25194,Handbags,Bags,7,2
50713,Tshirts,Topwear,0,0
6432,Casual Shoes,Shoes,2,1
6200,Tshirts,Topwear,0,0
21134,Sweaters,Topwear,34,0
40926,Jeans,Bottomwear,19,4
47247,Casual Shoes,Shoes,2,1
11967,Casual Shoes,Shoes,2,1
2609,Flats,Shoes,22,1
14729,Tshirts,Topwear,0,0
8166,Shirts,Topwear,1,0
22132,Formal Shoes,Shoes,17,1
7452,Tshirts,Topwear,0,0
45323,Heels,Shoes,8,1
47138,Handbags,Bags,7,2
38407,Belts,Belts,14,12
12446,Wallets,Wallets,10,10
15062,Sandals,Sandal,12,9
3353,Tshirts,Topwear,0,0
32918,Tshirts,Topwear,0,0
22952,Sports Shoes,Shoes,4,1
9202,Casual Shoes,Shoes,2,1
31120,Tops,Topwear,6,0
59946,Perfume and Body Mist,Fragrance,18,8
23222,Kurtas,Topwear,5,0
24565,Shirts,Topwear,1,0
55897,Nail Polish,Nails,28,18
40187,Kurtis,Topwear,38,0
13429,Tshirts,Topwear,0,0
33612,Wallets,Wallets,10,10
16954,Sunglasses,Eyewear,9,7
37737,Shirts,Topwear,1,0
4439,Casual Shoes,Shoes,2,1
30771,Kurtas,Topwear,5,0
18260,Kurtas,Topwear,5,0
24050,Tshirts,Topwear,0,0
5957,Shirts,Topwear,1,0
23572,Perfume and Body Mist,Fragrance,18,8
22726,Sports Shoes,Shoes,4,1
15612,Track Pants,Bottomwear,30,4
5671,Tshirts,Topwear,0,0
10835,Tshirts,Topwear,0,0
5364,Sports Shoes,Shoes,4,1
4828,Track Pants,Bottomwear,30,4
50617,Briefs,Innerwear,13,5
6199,Tops,Topwear,6,0
44028,Perfume and Body Mist,Fragrance,18,8
11409,Tshirts,Topwear,0,0
11378,Shirts,Topwear,1,0
29064,Backpacks,Bags,15,2
2275,Tshirts,Topwear,0,0
17907,Sweatshirts,Topwear,32,0
35554,Sandals,Sandal,12,9
50480,Briefs,Innerwear,13,5
9810,Shirts,Topwear,1,0
18561,Casual Shoes,Shoes,2,1
51553,Watches,Watches,3,3
30528,Bra,Innerwear,23,5
34864,Handbags,Bags,7,2
45962,Tops,Topwear,6,0
40559,Watches,Watches,3,3
38607,Tshirts,Topwear,0,0
28902,Briefs,Innerwear,13,5
14857,Wallets,Wallets,10,10
14477,Heels,Shoes,8,1
8966,Sports Shoes,Shoes,4,1
58471,Wallets,Wallets,10,10
45914,Watches,Watches,3,3
7469,Tshirts,Topwear,0,0
17531,Caps,Headwear,33,19
10447,Tshirts,Topwear,0,0
24558,Kurtas,Topwear,5,0
33436,Handbags,Bags,7,2
32293,Watches,Watches,3,3
42928,Wallets,Wallets,10,10
17242,Tshirts,Topwear,0,0
36802,Watches,Watches,3,3
22149,Sandals,Sandal,12,9
21552,Handbags,Bags,7,2
42590,Tshirts,Topwear,0,0
55150,Nail Polish,Nails,28,18
59042,Heels,Shoes,8,1
35676,Casual Shoes,Shoes,2,1
46514,Watches,Watches,3,3
58171,Handbags,Bags,7,2
38374,Belts,Belts,14,12
39016,Watches,Watches,3,3
24120,Flip Flops,Flip Flops,11,11
6095,Tshirts,Topwear,0,0
37478,Watches,Watches,3,3
58718,Kurtas,Topwear,5,0
