imageId,articleTypeName,categoryName,articleTypeId,categoryId
48741,Bangle,Jewellery,58,6
34968,Stoles,Stoles,56,26
48585,Bracelet,Jewellery,62,6
51391,Boxers,Innerwear,68,5
46060,Bracelet,Jewellery,62,6
7116,Duffel Bag,Bags,57,2
35128,Bracelet,Jewellery,62,6
39058,Cufflinks,Cufflinks,53,24
39925,Laptop Bag,Bags,59,2
46160,Necklace and Chains,Jewellery,44,6
36249,Night suits,Loungewear and Nightwear,46,17
55099,Face Moisturisers,Skin,64,27
55826,Nightdress,Loungewear and Nightwear,40,17
4930,Skirts,Bottomwear,48,4
25599,Kurta Sets,Apparel Set,55,25
46167,Necklace and Chains,Jewellery,44,6
14156,Cufflinks,Cufflinks,53,24
34268,Dupatta,Topwear,51,0
48894,Pendant,Jewellery,42,6
50669,Lounge Pants,Loungewear and Nightwear,63,17
52393,Nightdress,Loungewear and Nightwear,40,17
50032,Lounge Pants,Loungewear and Nightwear,63,17
48929,Ring,Jewellery,50,6
27961,Trunk,Innerwear,47,5
34294,Dupatta,Topwear,51,0
52426,Nightdress,Loungewear and Nightwear,40,17
52224,Necklace and Chains,Jewellery,44,6
48578,Bracelet,Jewellery,62,6
2953,Capris,Bottomwear,43,4
53088,Necklace and Chains,Jewellery,44,6
35018,Stoles,Stoles,56,26
24796,Kurta Sets,Apparel Set,55,25
54147,Necklace and Chains,Jewellery,44,6
39057,Cufflinks,Cufflinks,53,24
57185,Tunics,Topwear,39,0
59577,Cufflinks,Cufflinks,53,24
50844,Dupatta,Topwear,51,0
46286,Tunics,Topwear,39,0
8765,Sports Sandals,Sandal,61,9
34932,Dupatta,Topwear,51,0
43437,Kurta Sets,Apparel Set,55,25
52200,Pendant,Jewellery,42,6
49154,Highlighter and Blush,Makeup,67,21
48870,Pendant,Jewellery,42,6
55262,Kajal and Eyeliner,Makeup,54,21
52325,Bangle,Jewellery,58,6
42003,Capris,Bottomwear,43,4
34971,Stoles,Stoles,56,26
27014,Capris,Bottomwear,43,4
52434,Nightdress,Loungewear and Nightwear,40,17
34820,Sports Sandals,Sandal,61,9
50466,Trunk,Innerwear,47,5
40495,Leggings,Bottomwear,41,4
