imageId,articleTypeName,categoryName,articleTypeId,categoryId
35180,Backpacks,Bags,15,2
33585,Tshirts,Topwear,0,0
9464,Shirts,Topwear,1,0
8194,Shirts,Topwear,1,0
42231,Tops,Topwear,6,0
35716,Sports Shoes,Shoes,4,1
26103,Shirts,Topwear,1,0
11117,Shirts,Topwear,1,0
31407,Briefs,Innerwear,13,5
9833,Tshirts,Topwear,0,0
38290,Tops,Topwear,6,0
57605,Lipstick,Lips,29,15
13122,Sandals,Sandal,12,9
16079,Sunglasses,Eyewear,9,7
44577,Sandals,Sandal,12,9
17821,Casual Shoes,Shoes,2,1
4669,Backpacks,Bags,15,2
8858,Shirts,Topwear,1,0
54036,Handbags,Bags,7,2
1766,Tshirts,Topwear,0,0
57370,Briefs,Innerwear,13,5
13691,Sports Shoes,Shoes,4,1
46710,Perfume and Body Mist,Fragrance,18,8
51379,Shorts,Bottomwear,20,4
58943,Perfume and Body Mist,Fragrance,18,8
10484,Shirts,Topwear,1,0
44672,Shirts,Topwear,1,0
58170,Clutches,Bags,31,2
29667,Shirts,Topwear,1,0
18825,Wallets,Wallets,10,10
51602,Jeans,Bottomwear,19,4
37178,Tops,Topwear,6,0
49810,Flip Flops,Flip Flops,11,11
8735,Shirts,Topwear,1,0
18684,Briefs,Innerwear,13,5
38959,Tshirts,Topwear,0,0
17911,Jackets,Topwear,35,0
44878,Tshirts,Topwear,0,0
48160,Wallets,Wallets,10,10
42675,Kurtas,Topwear,5,0
37989,Wallets,Wallets,10,10
34842,Sports Shoes,Shoes,4,1
28170,Sunglasses,Eyewear,9,7
21246,Backpacks,Bags,15,2
9582,Backpacks,Bags,15,2
10215,Handbags,Bags,7,2
39218,Tops,Topwear,6,0
16799,Trousers,Bottomwear,21,4
30751,Kurtas,Topwear,5,0
57503,Sandals,Sandal,12,9
50896,Sarees,Saree,25,16
32490,Tshirts,Topwear,0,0
58195,Handbags,Bags,7,2
4907,Tops,Topwear,6,0
9961,Tshirts,Topwear,0,0
37048,Belts,Belts,14,12
32274,Kurtas,Topwear,5,0
33031,Kurtas,Topwear,5,0
9365,Socks,Socks,16,13
24054,Tshirts,Topwear,0,0
26468,Tshirts,Topwear,0,0
4678,Backpacks,Bags,15,2
36522,Handbags,Bags,7,2
58234,Wallets,Wallets,10,10
59212,Heels,Shoes,8,1
49587,Heels,Shoes,8,1
20599,Handbags,Bags,7,2
16002,Sweaters,Topwear,34,0
15849,Flip Flops,Flip Flops,11,11
33049,Kurtas,Topwear,5,0
4160,Tshirts,Topwear,0,0
10276,Formal Shoes,Shoes,17,1
46376,Shirts,Topwear,1,0
12567,Tshirts,Topwear,0,0
34353,Tshirts,Topwear,0,0
59454,Shirts,Topwear,1,0
10478,Shirts,Topwear,1,0
28610,Caps,Headwear,33,19
52812,Wallets,Wallets,10,10
2197,Sports Shoes,Shoes,4,1
43177,Watches,Watches,3,3
8528,Sports Shoes,Shoes,4,1
38133,Handbags,Bags,7,2
23771,Sunglasses,Eyewear,9,7
32807,Heels,Shoes,8,1
16214,Track Pants,Bottomwear,30,4
28597,Belts,Belts,14,12
35362,Heels,Shoes,8,1
22192,Casual Shoes,Shoes,2,1
53150,Heels,Shoes,8,1
24547,Tops,Topwear,6,0
9506,Shirts,Topwear,1,0
48352,Clutches,Bags,31,2
17986,Backpacks,Bags,15,2
31293,Tops,Topwear,6,0
27839,Belts,Belts,14,12
22354,Shirts,Topwear,1,0
52139,Tshirts,Topwear,0,0
9101,Sandals,Sandal,12,9
3273,Tshirts,Topwear,0,0
14299,Tshirts,Topwear,0,0
12111,Kurtis,Topwear,38,0
4264,Tshirts,Topwear,0,0
55636,Heels,Shoes,8,1
37696,Backpacks,Bags,15,2
31028,Shirts,Topwear,1,0
37152,Tshirts,Topwear,0,0
36387,Socks,Socks,16,13
25040,Tshirts,Topwear,0,0
32630,Tshirts,Topwear,0,0
19372,Formal Shoes,Shoes,17,1
32618,Jackets,Topwear,35,0
19245,Jackets,Topwear,35,0
3433,Tshirts,Topwear,0,0
55931,Nail Polish,Nails,28,18
28755,Kurtas,Topwear,5,0
47228,Formal Shoes,Shoes,17,1
19996,Tshirts,Topwear,0,0
26673,Flip Flops,Flip Flops,11,11
26114,Shirts,Topwear,1,0
22187,Casual Shoes,Shoes,2,1
29730,Handbags,Bags,7,2
50223,Belts,Belts,14,12
46872,Socks,Socks,16,13
25538,Shirts,Topwear,1,0
29907,Watches,Watches,3,3
18682,Briefs,Innerwear,13,5
28130,Briefs,Innerwear,13,5
17300,Socks,Socks,16,13
17652,Flip Flops,Flip Flops,11,11
15221,Casual Shoes,Shoes,2,1
42839,Handbags,Bags,7,2
27880,Shirts,Topwear,1,0
30146,Tshirts,Topwear,0,0
15227,Casual Shoes,Shoes,2,1
18202,Sweatshirts,Topwear,32,0
7904,Tshirts,Topwear,0,0
12723,Sports Shoes,Shoes,4,1
35282,Watches,Watches,3,3
22380,Shirts,Topwear,1,0
11259,Caps,Headwear,33,19
47183,Casual Shoes,Shoes,2,1
11855,Flip Flops,Flip Flops,11,11
16064,Trousers,Bottomwear,21,4
33833,Sports Shoes,Shoes,4,1
53051,Sarees,Saree,25,16
8503,Socks,Socks,16,13
6089,Tshirts,Topwear,0,0
11081,Shirts,Topwear,1,0
3553,Casual Shoes,Shoes,2,1
55615,Casual Shoes,Shoes,2,1
23766,Sunglasses,Eyewear,9,7
53763,Tshirts,Topwear,0,0
5605,Flip Flops,Flip Flops,11,11
40141,Tshirts,Topwear,0,0
28233,Deodorant,Fragrance,27,8
17502,Tshirts,Topwear,0,0
21091,Casual Shoes,Shoes,2,1
20391,Belts,Belts,14,12
21419,Tops,Topwear,6,0
29041,Track Pants,Bottomwear,30,4
31953,Sports Shoes,Shoes,4,1
49537,Clutches,Bags,31,2
17299,Socks,Socks,16,13
16506,Jeans,Bottomwear,19,4
37288,Watches,Watches,3,3
16974,Sandals,Sandal,12,9
9569,Shirts,Topwear,1,0
8282,Tshirts,Topwear,0,0
9852,Trousers,Bottomwear,21,4
31925,Handbags,Bags,7,2
56938,Heels,Shoes,8,1
37936,Dresses,Dress,24,14
10790,Shirts,Topwear,1,0
27929,Trousers,Bottomwear,21,4
22862,Casual Shoes,Shoes,2,1
59096,Bra,Innerwear,23,5
3836,Sandals,Sandal,12,9
22557,Deodorant,Fragrance,27,8
15839,Kurtas,Topwear,5,0
28270,Deodorant,Fragrance,27,8
19715,Shirts,Topwear,1,0
16118,Sandals,Sandal,12,9
7792,Tshirts,Topwear,0,0
19469,Shirts,Topwear,1,0
50288,Ties,Ties,36,20
14168,Belts,Belts,14,12
54145,Heels,Shoes,8,1
25104,Belts,Belts,14,12
59875,Shirts,Topwear,1,0
6233,Tshirts,Topwear,0,0
38780,Casual Shoes,Shoes,2,1
53743,Track Pants,Bottomwear,30,4
2556,Tshirts,Topwear,0,0
7568,Tshirts,Topwear,0,0
52147,Tshirts,Topwear,0,0
19065,Kurtas,Topwear,5,0
35682,Casual Shoes,Shoes,2,1
18738,Tops,Topwear,6,0
44181,Perfume and Body Mist,Fragrance,18,8
19313,Backpacks,Bags,15,2
30477,Bra,Innerwear,23,5
30627,Tshirts,Topwear,0,0
44784,Sports Shoes,Shoes,4,1
25485,Flip Flops,Flip Flops,11,11
46411,Sweatshirts,Topwear,32,0
34022,Tshirts,Topwear,0,0
18625,Tshirts,Topwear,0,0
23311,Kurtas,Topwear,5,0
23214,Kurtas,Topwear,5,0
38950,Tops,Topwear,6,0
16335,Shirts,Topwear,1,0
44981,Watches,Watches,3,3
45658,Briefs,Innerwear,13,5
52808,Wallets,Wallets,10,10
41443,Sports Shoes,Shoes,4,1
38676,Flip Flops,Flip Flops,11,11
26606,Sports Shoes,Shoes,4,1
19724,Shirts,Topwear,1,0
55141,Nail Polish,Nails,28,18
21744,Casual Shoes,Shoes,2,1
6713,Tshirts,Topwear,0,0
58306,Socks,Socks,16,13
24872,Socks,Socks,16,13
5972,Shirts,Topwear,1,0
36136,Sports Shoes,Shoes,4,1
7655,Tshirts,Topwear,0,0
18206,Caps,Headwear,33,19
33174,Tops,Topwear,6,0
43390,Wallets,Wallets,10,10
20943,Flip Flops,Flip Flops,11,11
1923,Sports Shoes,Shoes,4,1
56919,Heels,Shoes,8,1
13616,Innerwear Vests,Innerwear,37,5
16982,Flip Flops,Flip Flops,11,11
32814,Flip Flops,Flip Flops,11,11
31690,Sports Shoes,Shoes,4,1
5572,Sports Shoes,Shoes,4,1
32574,Tops,Topwear,6,0
4040,Tshirts,Topwear,0,0
33993,Shirts,Topwear,1,0
37093,Tshirts,Topwear,0,0
29245,Tshirts,Topwear,0,0
58176,Handbags,Bags,7,2
33088,Heels,Shoes,8,1
24103,Flip Flops,Flip Flops,11,11
24618,Wallets,Wallets,10,10
29129,Sunglasses,Eyewear,9,7
59743,Briefs,Innerwear,13,5
7041,Casual Shoes,Shoes,2,1
17751,Shirts,Topwear,1,0
38544,Casual Shoes,Shoes,2,1
42551,Kurtas,Topwear,5,0
47591,Heels,Shoes,8,1
13266,Tops,Topwear,6,0
32400,Tops,Topwear,6,0
29219,Socks,Socks,16,13
17608,Tshirts,Topwear,0,0
33383,Wallets,Wallets,10,10
39606,Heels,Shoes,8,1
42901,Belts,Belts,14,12
25875,Backpacks,Bags,15,2
23286,Watches,Watches,3,3
48062,Shirts,Topwear,1,0
33535,Heels,Shoes,8,1
19309,Sports Shoes,Shoes,4,1
48065,Shirts,Topwear,1,0
4772,Tshirts,Topwear,0,0
30155,Belts,Belts,14,12
34378,Tshirts,Topwear,0,0
32471,Socks,Socks,16,13
26704,Sports Shoes,Shoes,4,1
41977,Shorts,Bottomwear,20,4
13209,Sports Shoes,Shoes,4,1
