imageId,articleTypeName,categoryName,articleTypeId,categoryId
33585,Tshirts,Topwear,0,0
9833,Tshirts,Topwear,0,0
1766,Tshirts,Topwear,0,0
38959,Tshirts,Topwear,0,0
44878,Tshirts,Topwear,0,0
32490,Tshirts,Topwear,0,0
9961,Tshirts,Topwear,0,0
24054,Tshirts,Topwear,0,0
26468,Tshirts,Topwear,0,0
4160,Tshirts,Topwear,0,0
12567,Tshirts,Topwear,0,0
34353,Tshirts,Topwear,0,0
52139,Tshirts,Topwear,0,0
3273,Tshirts,Topwear,0,0
14299,Tshirts,Topwear,0,0
4264,Tshirts,Topwear,0,0
37152,Tshirts,Topwear,0,0
25040,Tshirts,Topwear,0,0
32630,Tshirts,Topwear,0,0
3433,Tshirts,Topwear,0,0
19996,Tshirts,Topwear,0,0
30146,Tshirts,Topwear,0,0
7904,Tshirts,Topwear,0,0
6089,Tshirts,Topwear,0,0
53763,Tshirts,Topwear,0,0
40141,Tshirts,Topwear,0,0
17502,Tshirts,Topwear,0,0
8282,Tshirts,Topwear,0,0
7792,Tshirts,Topwear,0,0
6233,Tshirts,Topwear,0,0
2556,Tshirts,Topwear,0,0
7568,Tshirts,Topwear,0,0
52147,Tshirts,Topwear,0,0
30627,Tshirts,Topwear,0,0
34022,Tshirts,Topwear,0,0
18625,Tshirts,Topwear,0,0
6713,Tshirts,Topwear,0,0
7655,Tshirts,Topwear,0,0
4040,Tshirts,Topwear,0,0
37093,Tshirts,Topwear,0,0
29245,Tshirts,Topwear,0,0
17608,Tshirts,Topwear,0,0
4772,Tshirts,Topwear,0,0
34378,Tshirts,Topwear,0,0
3886,Tshirts,Topwear,0,0
34019,Tshirts,Topwear,0,0
25028,Tshirts,Topwear,0,0
2038,Tshirts,Topwear,0,0
54902,Tshirts,Topwear,0,0
6931,Tshirts,Topwear,0,0
53312,Tshirts,Topwear,0,0
29046,Tshirts,Topwear,0,0
6943,Tshirts,Topwear,0,0
44864,Tshirts,Topwear,0,0
20362,Tshirts,Topwear,0,0
7953,Tshirts,Topwear,0,0
5144,Tshirts,Topwear,0,0
29297,Tshirts,Topwear,0,0
3887,Tshirts,Topwear,0,0
2675,Tshirts,Topwear,0,0
15202,Tshirts,Topwear,0,0
2321,Tshirts,Topwear,0,0
2980,Tshirts,Topwear,0,0
31591,Tshirts,Topwear,0,0
7827,Tshirts,Topwear,0,0
10377,Tshirts,Topwear,0,0
44841,Tshirts,Topwear,0,0
6202,Tshirts,Topwear,0,0
54926,Tshirts,Topwear,0,0
13154,Tshirts,Topwear,0,0
53781,Tshirts,Topwear,0,0
31254,Tshirts,Topwear,0,0
37621,Tshirts,Topwear,0,0
31153,Tshirts,Topwear,0,0
14075,Tshirts,Topwear,0,0
7343,Tshirts,Topwear,0,0
2051,Tshirts,Topwear,0,0
3132,Tshirts,Topwear,0,0
11774,Tshirts,Topwear,0,0
31263,Tshirts,Topwear,0,0
48076,Tshirts,Topwear,0,0
44848,Tshirts,Topwear,0,0
19154,Tshirts,Topwear,0,0
54955,Tshirts,Topwear,0,0
22810,Tshirts,Topwear,0,0
2065,Tshirts,Topwear,0,0
14088,Tshirts,Topwear,0,0
13499,Tshirts,Topwear,0,0
13513,Tshirts,Topwear,0,0
7552,Tshirts,Topwear,0,0
16834,Tshirts,Topwear,0,0
4199,Tshirts,Topwear,0,0
2714,Tshirts,Topwear,0,0
21401,Tshirts,Topwear,0,0
17273,Tshirts,Topwear,0,0
4042,Tshirts,Topwear,0,0
26239,Tshirts,Topwear,0,0
32432,Tshirts,Topwear,0,0
6578,Tshirts,Topwear,0,0
12632,Tshirts,Topwear,0,0
10646,Tshirts,Topwear,0,0
15607,Tshirts,Topwear,0,0
16499,Tshirts,Topwear,0,0
30635,Tshirts,Topwear,0,0
5668,Tshirts,Topwear,0,0
24032,Tshirts,Topwear,0,0
4959,Tshirts,Topwear,0,0
10468,Tshirts,Topwear,0,0
8318,Tshirts,Topwear,0,0
47282,Tshirts,Topwear,0,0
3319,Tshirts,Topwear,0,0
48443,Tshirts,Topwear,0,0
33561,Tshirts,Topwear,0,0
7000,Tshirts,Topwear,0,0
6722,Tshirts,Topwear,0,0
43330,Tshirts,Topwear,0,0
53307,Tshirts,Topwear,0,0
1911,Tshirts,Topwear,0,0
48067,Tshirts,Topwear,0,0
44855,Tshirts,Topwear,0,0
5415,Tshirts,Topwear,0,0
58728,Tshirts,Topwear,0,0
10005,Tshirts,Topwear,0,0
11444,Tshirts,Topwear,0,0
2090,Tshirts,Topwear,0,0
20670,Tshirts,Topwear,0,0
4431,Tshirts,Topwear,0,0
14094,Tshirts,Topwear,0,0
14063,Tshirts,Topwear,0,0
3680,Tshirts,Topwear,0,0
